,Anticipation,Disgust,Fear,Joy,Negative,Positive,Sadness,Surprise,Trust,follower_count,Pct_change
2016-06-15,0.00622786665038467,0.0014653803883258028,0.0029307607766516056,0.0014653803883258028,0.005250946391500798,0.009647087556478208,0.0034192209060935398,0.0012211503236048357,0.005128831359140314,2947684,0.005137690110644355
2016-06-14,0.008983347940403162,0.0008764241893076249,0.005915863277826472,0.003943908851884314,0.006792287467134098,0.022348816827344454,0.003943908851884314,0.0030674846625766885,0.0070113935144610045,3026367,-0.013881879751653892
2016-06-07,0.01042790363178713,0.0012585400934915496,0.003955411722402015,0.001618122977346278,0.006832074793239838,0.01078748651564186,0.0019777058612010065,0.0012585400934915496,0.008270406328658752,1530620,0.012858477025197823
2016-06-06,0.005578536815979186,0.0010637040538943392,0.0036402316511050634,0.0031438364259543734,0.005720364023165098,0.00784777213095377,0.002741992672260958,0.002174683843517312,0.005885829098215328,15696585,0.0020451676691868315
2016-06-05,0.005216581276199351,0.0028877503493246405,0.0035398230088495596,0.005216581276199351,0.007265952491849097,0.018258034466697683,0.005775500698649282,0.003167210060549606,0.00950163018164882,3516671,
2016-06-04,0.006220839813374802,0.0037325038880248857,0.0024883359253499225,0.003214100570243651,0.007983411093830993,0.010160705028512169,0.003317781233799898,0.004872991187143598,0.006428201140487295,3818335,
2016-06-03,0.009410775499644282,0.001519953431214023,0.0029428885583080043,0.0038483927300950833,0.007567427721363444,0.014099993532113084,0.0027811913847745973,0.0031045857318414112,0.008763986805510654,15253049,0.0019467463563191956
2016-06-02,0.01093197602988749,0.0021061605195195907,0.004638567810846712,0.0061680415214502215,0.010982122708923672,0.015445177143143902,0.005967454805305499,0.0033598274954241064,0.01010455582579048,17697468,-0.014340519259598894
2016-06-01,0.010271929076805,0.002003239280538744,0.004091722785781265,0.004517943909300146,0.010399795413860663,0.014747250873753169,0.004134344898133153,0.0028130594152246196,0.009035887818600269,12023992,-0.005823311645987483
2016-05-31,0.00989734721660101,0.0018396556164685977,0.005003863276794568,0.004268001030207133,0.0072114500165568725,0.013834210235843787,0.0035321387836196984,0.003164207660325981,0.008131277824791167,8079506,0.0016089705227946283
2016-05-30,0.01306326809285385,0.0018661811561219827,0.005370960400546203,0.007510241238051908,0.007055075102412396,0.016249431042330394,0.003959945380063717,0.0031406463359126033,0.012471552116522497,5660233,
2016-05-29,0.01258605851979347,0.0026893287435456126,0.004840791738382103,0.008175559380378663,0.01376936316695354,0.015382960413080907,0.0034423407917383844,0.002366609294320139,0.023881239242684912,7163854,
2016-05-28,0.011662449114314003,0.0016503465727802835,0.003300693145560567,0.0038508086698206614,0.007481571129937299,0.01760369677632303,0.003190670040708548,0.003190670040708548,0.016283419518098786,1464684,
2016-05-27,0.012429418658333004,0.001846656486380906,0.0037643382222379974,0.0040839518448808464,0.00784829006711884,0.01740118612166629,0.0022728079832380374,0.003586775098547526,0.011790191413047307,9902243,-0.0024076832166408657
2016-05-26,0.014248285201212834,0.0012364214430804557,0.0035031940887279515,0.007300774235332198,0.007889546351084794,0.019547234242986433,0.0033265624540021726,0.005858282551738337,0.012835232123406603,19066718,0.010236162511132463
2016-05-25,0.010030726533848837,0.001506591337099814,0.0030131826741996216,0.0065219546040242195,0.008127663792249044,0.01843592030924792,0.0027158291208246605,0.006046188918624271,0.009535137278223891,34116813,0.014914595042541556
2016-05-24,0.007625663752146001,0.0013175230566534906,0.0036132071705194317,0.0036132071705194317,0.00610851598993894,0.012895755978759783,0.002016209526090946,0.0020561344672016583,0.006467840459935349,18088999,0.014081552471523429
2016-05-23,0.0130217218241784,0.002900034118048441,0.006880473103605104,0.007477538951438604,0.010263846241328343,0.018793358353235545,0.005174570681223677,0.003667690208120083,0.0110599340384397,18191988,0.012996654320225343
2016-05-22,0.011934516370907224,0.003999000249937517,0.01262184453886523,0.010497375656085939,0.012184453886528317,0.021057235691077123,0.007748062984253914,0.006248437890527355,0.011747063234191404,6020136,
2016-05-21,0.018437385907265288,0.0025556772544724367,0.010709504685408266,0.00979676280881098,0.009553364975051704,0.021662407204575698,0.004016064257028115,0.007423633929658031,0.014056224899598315,6548964,
2016-05-20,0.011019055509527746,0.0018503175918254627,0.0049157691245512135,0.004529135597901123,0.007925987296326924,0.017453742060204457,0.003507318420325877,0.002982601491300746,0.008920187793427188,12058239,0.0
2016-05-19,0.011453561016243235,0.0009371095376926284,0.006195335276967932,0.005882965431070389,0.008902540608079969,0.01889837567680123,0.005102040816326532,0.0032798833819241992,0.011609745939192007,12571398,0.005097660459546294
2016-05-18,0.0075000599046318546,0.0011741307837922041,0.0030191934440370882,0.003666163467759318,0.007739678431936388,0.011980926365226637,0.0034265449404547884,0.0020127956293580643,0.0063738528263005455,14808936,-0.004124795103760515
2016-05-17,0.0061504126226189495,0.001660870919188254,0.003918617324959797,0.0028675974464109754,0.006902994757876106,0.010562101001712806,0.002153941973322269,0.002153941973322269,0.004982612757564742,39125398,0.0233791933800076
2016-05-16,0.007470651013873999,0.0012102674691106738,0.0036638097019441123,0.004786057718755813,0.006392412723211777,0.011123458284280711,0.002497551958982933,0.002651586000506108,0.008262826084564611,53305762,0.026555548773871562
2016-05-15,0.012985326580963477,0.0015582391897156216,0.004285157771717956,0.004739644202051681,0.010842747695104517,0.01376444617582128,0.0058433969614335845,0.0036358914426697798,0.012400986884820124,3438022,
2016-05-14,0.010385219176427976,0.002717063156623594,0.004407680231856048,0.007245501750996239,0.009721048182586645,0.01678541238980807,0.005675643038280389,0.004407680231856048,0.010385219176427976,4505964,
2016-05-13,0.012531554273350214,0.00191128741435269,0.00596826541651643,0.007915614857555025,0.010656328885683419,0.017598269022719153,0.004579877389109283,0.005210962856112532,0.012243058059863015,26557634,-0.02933564694664592
2016-05-12,0.015264668503948305,0.003170024703345668,0.007753709071696845,0.006597078436692342,0.015236109722837083,0.01706387171395531,0.008553354942811068,0.0048407133983521715,0.014050920306721358,28507332,-0.008130103861128002
2016-05-11,0.011090613130764993,0.0017362995116657599,0.0049918610960390875,0.0032338578404774894,0.008160607704829114,0.015626695604991653,0.004058600108518733,0.0024742268041237124,0.011589799240368884,14947861,0.0016072165749063672
2016-05-10,0.009714507169616355,0.0022736080609740378,0.0043146880248030066,0.005141454592429931,0.008836067691512748,0.014235886836326097,0.003952977651466227,0.004056323472419593,0.0101795633639065,10980643,0.0035484067855342527
2016-05-09,0.008687025117359557,0.001645453225572278,0.0030731258771717544,0.0049605575182693675,0.006436625852973911,0.012171514300924505,0.0029279388278565534,0.003944248173062961,0.009896917194986275,23008826,-0.0039627582274605055
2016-05-08,0.001362989287913816,0.0002423092067402346,0.0006259654507456062,0.00042404111179541066,0.001150968732016113,0.0020596282572919837,0.0004644259795854498,0.0002322129897927248,0.0017466455319191836,6638338,
2016-05-07,0.007537190082644629,0.002181818181818182,0.004694214876033058,0.0037685950413223145,0.009586776859504133,0.013289256198347109,0.004760330578512397,0.003107438016528926,0.00859504132231405,3957782,
